Column1;Column2;Column3;Column4;Column5
web-scraper-order;web-scraper-start-url;aircraft_type;aircraft_type-href;aircraft_comments
1612804327-639;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-300 (773);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777_300.php;"- the layout is 2-4-2 which gives you a clue as to how cramped it has to be. This is purely a money-earning exercise by BA who just want the max £££'s from their business class customers, and blow their comfort

- the 2-4-2 firstly means the seats are very narrow, the legs part of the seats/bad area is narrower than the seat section to accommodate the shoulders/seat of the adjacent passenger.

- the narrow part means you can't sleep on your side, if that's what you do, as there's nowhere to bend your legs

- the aisle eats are very open and exposed to the aisle. In mid-flight with everyone sleepign it is an obstacle course to reach the loo as people's bedding is falling off, knees, elbows and feet are sticking out and I more than once woke someone by accident (not noticing feet with dark socks on for example). If you're in one of those seats, there is a draught every time a crew member passes - usually at a lick as they are understaffed and tryign to get round everyone asap.

- the in-seat faciliites are awful. There is one pathetic light, tucked under the lip of the partition and impossible to find except by asking a crew member. There is nowhere to put anything. There is a small drawer - at floor level, down by your feet. Also by that drawer as a mains socket and a USB socket. By your feet I reiterate. The drawer and sockets cannot be reached if the ""bed"" is reclined in sleeping position, or even if you just have the legs-up position, watchign a film or using the tray, etc

- the meal tray is pathetic - flimsy as all get-out, and not easy to fetch out from its hidey-hole

- the ""bed"" is short. Now, I am 6'6"" and always have a small bit of trouble on any flight or sleeper train journey, but most beds are 78"" or thereabouts. The BA 777 ones have to be somewhere between 72"" and 75"" at the most. I could nowhere near lie straight, nor due to the narrowness (as above) sleep on my side with my legs bent. Whilst I am above average height, there were plenty of other passengers somewhat crammed in to their beds, and I would imagine if you're more than say 6'1"" you are going to not be able to lie out flat, except for just 4 seats (16A,E,F,K)

- the ""flat bed"" is not. The backrest goes nowhere near flat.

- the 2-4-2 layour means to get to the central passengers the stewards have to lean right over the aisle passenger and access via a small space provided in the partition. Bad for the staff and bad for the aisle passenger.

- the central two passengers (centre 2 of the -4-) are shoulder to shoulder with no privacy whatsoever and a thoroughly inadequate divider screen. Sleeping (/trying to sleep) right next to a stranger like that is, as my wife said, like being back at Brownie's Camp, in a tent. If on the other hand it's the adjacent aisle passsenger you don't know, you spend the flight looking straight at them from not very far away at all, unless you put the screen up, whereupon the stewards can't get to you to hand you your meal.

- the piece de resistance is the obstacle course for inner 2 centre or window passengers to get out. If the aisle passenger is sleeping you actually have to CLIMB OVER them to get out, say to the loo. Physicaly possible (though still not acceptable!) if you've legs as long as mine, but if you're shorter, or have a gammy hip like my wife does, this is too hard and you're going to have to ""hold on"", or risk disturbing the aisle passenger

I absolutely don't know whatever possessed BA to accept this layout. They should have simply done a 1-2-1 angled layout like they have in 1st class, or like decent airlines use. Suffice to say that we will never ever consider a BA Club World flight. Our insurers also paid as much for this flight as we did for our return flights on Cathay, albeit they were booked well in advance; the point being though that BA don't reduce their Business Class price in compensation for such a terrible layout"
1612804349-1472;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;*All* K window seats have obstructed legroom by the entertainment fusebox on the upper deck economy cabin. Definitely not enough space to put a bag under the seat in front
1612804336-776;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-200 (772) Three Class Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200B_2.php;Really unpleasant business class seats. No handy storage to place eye glasses or electronic devices while sleeping. The seats aren't long enough in full recline for a tall person. Narrow. And BA's customer service at Heathrow is terrible.
1612804349-1528;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;This first class seat was amazing - spacious, comfortable, individual closet, and impeccable service - 5 stars all the way!
1612804322-468;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 787-8 (788);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-8.php;This seat was so cramp and uncomfortable and the heat unbearable that my husband who is otherwise very healthy actuallty fainted at one point. he is 6ft and his knees were touching the feat in front and when they reclined (as is their right to do) the back of the seat left only about 6 inches. Rediculous and we wont be flying this route again
1612804349-1534;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;This is a first class seat facing the toilet. Its positioned in an alley, between you and 1A is a cupboard where the staff keep their luggage and the bedding. Between the toilets and the staff laundry, its the worst 1st class seat i have ever flown. I would rather have travelled club
1612804333-723;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-200 (772) Three Class Layout 2;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200ER.php;On this particular aircraft there were no overhead bins in the middle for rows 1 and 2. Fortunately row 3 had space in the bin above them.
1612804327-648;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-300 (773);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777_300.php;"British Airways should be embarrassed by the seat configuration offered in business class.  I can't understand why anyone would fly BA a second time.  We clearly will not be doing so.  The seat was cramped, had virtually no storage space,
required folks to step over you and the 
crew to pass food over you while serving other passengers.  I trust the plane's architect remains unemployed so that no further damage can be done by this incompetent designer.  If you sense I'm being a bit emotional try paying for a real business class experience and suffering through what doesn't even come close to what should be offered.  AVOID THIS AIRLINE UNTIL IT ADDRESSES ITS NUMEROUS DEFFICIENCES."
1612804322-474;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 787-8 (788);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-8.php;Flew twice on this plane, once from Heathrow - Toronto and one from Calgary - Heathrow. Like all comments I agree with the problem for seating. I am 6'3 and average build and have never been so uncomfortable. When the person in front puts their seat back there is no room to move and leg room is non existent. Be careful of your headphone cable, the AUX socket is in the side of the seat and I broke mine within a few hours due to the narrowness of the seat.
1612804336-812;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-200 (772) Three Class Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200B_2.php;If you're travelling alone, 5K (and also 5A) are extremely private seats. You have the window on one side and the bulkhead in front of you.  You don't have to disturb anyone getting out your seat because you walk around the back of the seat next to you.
1612804349-1578;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;"For a couple, the best seats in F class on the A380 are in the middle. You can chat and you can eat together with one sitting on the foot rest, which you cannot do in Club. 

Be wary of seats 2D and 2E though. They are under the stairs up to the upper desk and can feel claustrophobic, made worse since you cannot see out of the windows on either side.

I would give these a ""yellow"" tag."
1612804349-1291;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;All economy (World Traveller Plus and World Traveller) seats on the upper deck have very limited luggage space.
1612804346-1085;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 747-400 (744) Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_C.php;The plane was very old to Las Vegas and it smells like that. The seat was very comfortable due to it´s a old plane. The seat is a bit small but it´s ok. I was 1,84cm tall and I can´t lie straight.
1612804340-886;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-200 (772) Four Class;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200.php;Our flight from Heathrow to Houston was truly amazing.  The Concord Club was fantastic as our family of four enjoyed a wonderful breakfast before boarding.  We were escorted to our seats once onboard and even the pilot came by to great us.  We are food snobs, and the meal service was perfection.  The cabin was newly refreshed and our seats were top notch. The flight ended all too soon 10 hours later.  Well done BA, we will be taking the same flight in 2017.
1612804346-1231;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 747-400 (744) Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_C.php;"I found the ""bed"" very unconfortable. It does not lie completely flat: the unfolded seat provides 3/4 of the bed length with an adjustable foot rest added to that. The unfolded seat hinge area means that the small of your back has a rigid bar digging into it. The footrest can be set higher or lower than the unfolded seat which makes for uncomfortable legs. There is no accessible storage once the bed is open - so tricky if you need space for spectacles, water etc. you have to climb over a neighbouring bed to get out if you are in the window position. Our plane was formatted with WTplus in the nose area which meant that we had to queue with WT to board."
1612804346-1239;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 747-400 (744) Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_C.php;All seats in this section are bad, except front of section . When you try to get out of seat you have to climb over chair side.  No room to stand and get out. If the person in front reclined, you have to climb and come out at an angle, bad for back and balance.  Complained, got an official sorry!!! Never again waste of money, no benefits here
1612804336-817;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-200 (772) Three Class Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200B_2.php;Seat 5A has a window blanked out, and (rear) faces the bulkhead  - giving a claustrophobic effect.  Plus is that you don't have to clamber over adjacent passengers legs to access seat.  Fine for getting a good nights sleep, but no so good on a day journey.
1612804322-488;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 787-8 (788);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-8.php;The new WTP cabin is a lot better than previous incarnations and better than Virgin in my opinion. The recline is decent, the video screen excellent quality, and the upgraded Club quality food is fantastic.  The 787-8 windows are excellent, so get a window seat.  Downside is the footstool, which is useless if you are over 5'10.  Far too short.  Seat 10K is great choice.
1612804349-1455;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;Do not recommend these seats at all. We paid in advance for upper cabin seats and were extremely uncomfortable as there are large boxes underneath the seats in front. There is also limited overhead space so our carry on luggage couldnt go above and couldn't fit under seat in front either. Our feet had nowhere to go!
1612804349-1635;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;"This is a window seat and benefits from a thin locker against the window for storing small bags/laptops/shoes etc.
The leg room seemed quite good (I'm 5""10 and there was space between my knees and the back of the seat in front, which is rare), but the seat itself is quite uncomfortable and my right leg kept on going numb, and with the new side lockers it isnt possible to lean against the side of the plane to sleep. Therefore, not the most comfortable plane for a long flight, and one of the rare occassions when I struggled to sleep. 
The noise in the cabin from the engines is minimal: one of the quietest flights I have ever taken. However, the down side of this is that you can hear ever sniff, cough, sneeze or snore: bring ear plugs!"
1612804346-1128;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 747-400 (744) Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_C.php;The upper deck on the 747 absolutely is the best place to be. Every seat is excellent, the aisles are spacious, the seats comfortable and the service top notch. I agree the aisle seats are extremely private, though the aisle seats mean you never have to climb over someone's legs when you want to go to the bathroom.
1612804319-378;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 787-9 (789);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-9.php;Good seat at the front of world traveller plus (economy plus). Has plenty of leg room with bassinets in front of seats, although all plus seats look to have good leg room. The entertainment screen and table both extend from the armrests.  There is a fold out foot rest.
1612804296-130;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A320 (320) European;https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A320-200_D.php;"how riduculas to call this Business. 
30"" and can not get my kegs in straight. 
Having to sit across 2 seats, so a bad back when i get to Larnaca in 4+ hours. 
I wouls describe the seats as not fit for purpose !"
1612804346-1197;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 747-400 (744) Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_C.php;"The seat is slightly displaced left and the screen is not just in front of you.
It has a big leg room"
1612804319-305;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 787-9 (789);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-9.php;I flew on BA from Muscat to London in Traveller Plus and was very happy except that the bean counters who clearly run BA had decided lunch at the end of a 7 hour flight would be a cereal bar! (We did get a hot breakfast when took off). My wife travelled a week later and was happy with the lie-flat bed again but the BA bed configuration means that its not suitable for tall people. Her lunch was a sandwich so lucky her! So in brief she recommends BA Business class for shorter people who dont like to eat much and dont need to go to the toilet for 7 hours as to get there you have to climb over your neighbour. (Alternatively you can pick an aisle seat but then you mustnt mind being disturbed for your neighbour to climb over you). Until BA sort this out you are better off using airlines like Thai Air with a much better seat pitch due to their business class layout.
1612804349-1571;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;"VERY reduced foot space due to AVOD box in foot area.
Arm rests do not fully retract so getting in and out is difficult with seat in front reclined.
BAD seat"
1612804349-1490;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;"You pay a premium for business class seats for comfort,sleeping and privacy. The business class cabin failed on counts. We booked 2 window seats,57a and 58b. When the seat divider is down for take off/ landing, you are facing a complete stranger sitting in an aisle seat. When meals are being served, cabin crew have to pass it over your aisle neighbouring passenger. Worst of all if you want to leave your seat, you are required to climb over an aisle seat if they have reclined to sleep!!!
BA fares are generally more expensive than other airlines and in my view not worth it. I don't know who designed the seat layout but clearly they are trying to squueze in as many passengers as possible.
Will not be flying BA business class again-they do not come anywhere near their middle eastern competitors for service,comfort and value for money"
1612804346-1216;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 747-400 (744) Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_C.php;Buyer beware - nearly every aisle seat on this plane  as well as the BA 747's other version has an IFE system underneath the seat in front of it, as well as misaligned seat supports that make it nearly impossible to stow a bag properly.
1612804327-646;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-300 (773);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777_300.php;Huge equipment box right in the middle of your foot space. I think all the WT window seats are the same. The only way to stretch your feet out is to squeeze your left foot into the narrow gap between the bulkhead and the leg of the seat in-front. Rather horrific after 13 hours.
1612804349-1384;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;"Seat 61K ba A380 hong kong premium economy,

Good clean aircraft, friendly staff - good seat alot of extra leg room due to position behind club, arm rest a small issue - 

found seat a bit narrow but acceptable. Food was average at best worth the extra to go premium (world traveller plus)"
1612804319-355;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 787-9 (789);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-9.php;"Comment for this seat and the corresponding seat on the opposite aisle. You are constantly bothered by the closed curtain, everytime a crew member passes through or a passenger goes to the bathroom, the curtain brushes over these seats due to the angle and which the curtain rail is mounted, with the constant touch/brush of the curtain a relaxing journey is impossible.
Also, with the toilets being new design or maybe more 'efficient' the noise from the flushing or suction is incredible loud outside of the wahroom."
1612804349-1456;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;"Good seat in fact. Lots of legroom and the emergency exit door is not bothering at all. Not much storage space around the seat, but who cares; for a night-flight you just need sleep."
1612804322-452;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 787-8 (788);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-8.php;The seat is standard but ithas a media box in the legroom snd the earphones plug needs some handling since it loses connection occasionaly and audio malfunction
1612804349-1431;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;This is a terrible seat just outside the toilet.  People continually standing right by you and the toilet smell constant.  Nightmare
1612804336-779;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-200 (772) Three Class Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200B_2.php;"Hi,
went to Orlando and back, on this aircraft. we had seats 13jk and 14jk.
I would like to say these are the best seats. Handy as my wofe and kid were in front, plenty of room. love ba - 10/10"
1612804349-1421;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;Seat is very bad. As well as toilet close by, the locker beside this seat is used by air crew to store uniform changes so there is cinstant disturbance.
1612804349-1537;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;All middle seats on the lower deck (E/F) don't have any dividers between them! Not suitable for single travellers!
1612804349-1592;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;The ice-cold draft in these seats was unbearable until the attendant kindly turned the air down. He informed us that these seats were notably colder than any other on the plane and that in the future we should avoid this row, both for the draft and the noise from the galley. I must say that when watching in-flight entertainment I heard zero noise from the galley. Even while I was sleeping (without headphones or earplugs) the noise was so minimal, the curtain well drawn, that if not for the draft I would happily choose these seats again.
1612804340-849;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-200 (772) Four Class;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200.php;flown with my family from Bahrain to London on club world. Dated aircraft, old, dirty and smelly seats and terrible food to the extent that my kids complained about it. In addition, one of the cabin crew was with a bad attitude. I a silver member and frequent flier on BA but I moved recently to Gulf Air, Emirates because of their new and modern aircraft, food & services. BA always send dated and cheap aircraft to Bahrain and pricy also.
1612804327-672;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-300 (773);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777_300.php;The seat was fine, but boarding arrangements,food,service and toilets inferior to other airlines.
1612804346-1104;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 747-400 (744) Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_C.php;Great seat, a bit more narrow than others due to in-armrest tray and  media screen. The multimedia system is totally outdated on this plane.
1612804340-888;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-200 (772) Four Class;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200.php;"The world's worst business class cabin ?
It's a long time since I flew BA Club World.  A recent BA flight from Muscat means I wilI not be repeating the experience in the near future.
The cabin layout is appalling.... 2-4-2 (compared to most airlines 1-2-1) is a joke. It is cramped and one has to ask if it was designed by the bean counters rather than customers. Not surprisingly there is absolutely no storage space. It feels like flying in a coffin !  I feel sorry for the Cabin crew having to lean over other passengers to serve food and drink. I understand the A380 layout is identical so obviously BA haven't learnt by their mistakes.
My meal was inedible (tenderloin of beef, a misnomer if ever there was) and when I returned it untouched the embarrassed crew member explained it had come out from Heathrow on the outbound flight.... no wonder it was tired and tough. My camel biryani in a local restaurant the night before was succulent and tender in comparison.
And they demand £300 to book seats !  
A quick look at TripAdvisor or Seat Guru confirms that my experience was not unusual.
So sad to think BA really was once 'the world's favourite airline'
I challenge Mr Walsh to fly Emirates and then attempt to defend his substandard product. If you have to fly BA choose Premium Economy.... the cabin and seating is much more attractive and you'll save money.... otherwise use their alliance members or Emirates/Qatar/Lufthansa/Singapore."
1612804336-738;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-200 (772) Three Class Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200B_2.php;Everyone walks into the back pf the seat including the hostess tram and the trolley due to it being off set into the aisle to the walkway behind it. Sleeping is an issue as you get woken up each time seat is knocked
1612804349-1401;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;The exit door does NOT intrude on ones leg space in this seat, but it does not have a window.
1612804349-1317;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;"First time on A380: best plane I've flown.  Very quiet, adequate overhead bins.  Our seats were very good; close enough to restroom, but far enough so there was no disturbance.  Nice extra stowage beside the window seat. Plenty of leg room, seats and aisles are a bit wider than standard.  Food OK, cabin attendants very attentive.  Entertainment system was very good, though the touch screen on mine didn't work; the remote did.  The woman behind me kept messing with her touchscreen the whole flight, which kept me awake: tap, tap, tap.  Jerk!  I recommend spending the extra $$ for this section, and these seats."
1612804349-1515;https://www.seatguru.com/airlines/British_Airways/information.php;Airbus A380-800 (388);https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php;The most uncomfortable seats ever, will not travel on an A380 again, probably won't fly BA again.
1612804322-453;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 787-8 (788);https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-8.php;"A little bit of background information. I fly transatlantic roughly 3 times a year and have been flying since a very young age on at least 25 types of aircraft, including a Comet 4B with BOAC. I am 5' 10.5"" and weigh about 168 lbs. 

On my outbound flight from Montreal I had great trepidation after reading many of the comments. I was able to choose 39B (extreme port side seat with free space on the left hand side of the fuselage) which seemed to get positive reviews. Aside from the specific qualities of the seat due to its position, I found the width of the seat nothing out of the ordinary. I did not feel squeezed. the pitch was not great but once again not something that I found awful. Overall, a pretty decent seat and no noise or queues for the one rear toilet.

On the return flight I managed to get 39J and this was heaven as the other seat next to me - 39H - was unoccupied. Essentially the same as 39B."
1612804340-951;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-200 (772) Four Class;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200.php;Business class seats on this BA configuration are rubbish.  Very narrow, no in-seat storage, very little privacy.  BA should be ashamed of itself charging Business class prices for these seats.
1612804340-881;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 777-200 (772) Four Class;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200.php;This window seat is in the middle of the wing and therefore has a view that is 90 % wing.  Avoid if you like looking at things, unless you really like looking at grey metal wings.  Should be coded yellow.
1612804346-1171;https://www.seatguru.com/airlines/British_Airways/information.php;Boeing 747-400 (744) Layout 1;https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_C.php;"Really disappointing premium economy seats in BA 747.  We had 16 J and K.
Cushion width on my seat was 18"", which when combined with the fixed sides (armrest design) meant that I had to sit with my legs together for the whole flight.  Seat pitch is correct (38"") but huge IFE box is mounted under the seat in front (its about the size of a large shoe box) so only one leg has any legroom.  If you are of tiny stature (and very slim!) you will be able to twist your body to angle your legs to avoid the IFE box.  But then I guess you probably wouldnt need a PE seat in the first place :-)
Im 6'2"" and of average build (before you ask!).  I fly many times per year, but this was my first PE seat on a BA 747.  I have flown with many other airlines and have a good knowledge of economy and Premium economy seating.  For what its worth the BA747 PE seating is easily the worst seat I have ever paid for.  
BA also charge handsomely to sit with a fellow traveller (no free allocation in PE with BA), plus theres no lounge access etc etc.
All things considered, this was a really poor experience except for the cabin crew who were excellent.
To add insult to injury, my seat was also damaged and (in my opinion) unfit for service/purpose.  Have complained to BA via their survey but dont expect a response from them;  I had already written two complaints to them previously (prior to travel, regarding other issues) and didnt get a satisfactory response on those occasions either!

Despite how I might come across in my wording, Im a pretty laid back traveller thats easily pleased.  I think BA have many issues with their management's thinking, attitudes and policies.  This reflects poorly in the customer experience (except the flight/cabin crews, who I have always found to be excellent)"
