web-scraper-order,web-scraper-start-url,aircraft_type,aircraft_type-href,aircraft_comments
"1612887618-21788","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Embraer E-175 (E75) Layout 1","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Embraer_ERJ-175.php","Best seat on this aircraft. Overhead bins on left side are very small like others said. I like the Embraer E175 much better than CRJ-900, it feels more roomy."
"1612887369-16566","https://www.seatguru.com/airlines/Lufthansa/information.php","Airbus A321 (321)","https://www.seatguru.com/airlines/Lufthansa/Lufthansa_Airbus_A321_NEK.php","I flew from Frankfurt to Heathrow on my way back from Houston, and I was very unhappy. I sat with my cousin on Row 35. Barely any legroom, tables were loose and the pockets on the seats in front were broken. Very cramped plane. Somehow I managed to sleep through most of the flight, but I was very disappointed. Narrow aisles and no TV screens. I'll be flying on a Turkish A321 and I am praying my exprience will be better than Lufthansa."
"1612887606-21499","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Bombardier CRJ-900 (CR9)","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Canadair_CRJ900_C.php","Seat is too narrow, is poorly designed, and has insufficient padding. It appears that all standard seats are very uncomfortable. They are all similarly bad regardless of whether or not the seats recline or have aligned windows. This was the most uncomfortable airline seat I have had in many years. CRJ900 is a deal breaker. I will not knowingly fly on this plane again. Half the flight spent the flight either standing or clutching their backs upon landing. Delta should be ashamed of having this plane in its fleet."
"1612887451-18424","https://www.seatguru.com/airlines/American_Airlines/information.php","Boeing 777-300ER (77W)","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_777-300_ER.php","Got upgraded to this while having purchased the lowest fare class (X). This seat is by far the best on AA coach, even better than the one opposite FA's on AA's A321 (if you fly with them long enough you know). Ample legroom even with the bulkhead in front! Surprising! Would fly again."
"1612887509-18996","https://www.seatguru.com/airlines/Air_France/information.php","Boeing 777-200ER (772) Three Class Layout 2","https://www.seatguru.com/airlines/Air_France/Air_France_Boeing_777-200_C.php","Good seat with plenty legroom. Only disadvantage is that you cant recline it! Service good and friendly. Meal ok."
"1612887594-21120","https://www.seatguru.com/airlines/Emirates_Airlines/information.php","Boeing 777-200LR (772) Three Class","https://www.seatguru.com/airlines/Emirates_Airlines/Emirates_Airlines_Boeing_777-200_LR_3class.php","cramped knee room for me at 1.7m tall.   video boxes under seats are a nuisance.
rotten aircraft after being in the A380."
"1612887658-22738","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Boeing 767-400ER (76D) Layout 1","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Boeing_767-400ER_B_Version_2.php","DL14 (ATL to FRA) seat 18E has limited foot space (box under 17E is 4 inches wide, limiting foot room). Head rest doest stay raised. Boeing 747-400ER"
"1612887589-21011","https://www.seatguru.com/airlines/Emirates_Airlines/information.php","Boeing 777-300ER (77W) Three Class Layout 2","https://www.seatguru.com/airlines/Emirates_Airlines/Emirates_Airlines_Boeing_777-300ER_3class_V2.php","OK seat. I struggled to adjust the lumbar/seat length to get a good position. On the aisle, but the person on the window can easily step over the end of the seat even when fully reclined. Bed was moderately comfortable but not great."
"1612887514-19125","https://www.seatguru.com/airlines/Air_France/information.php","Airbus A380-800 (380)","https://www.seatguru.com/airlines/Air_France/Air_France_Airbus_A380_V2.php","We were in economy, seat 24 aisle and window with the middle seat empty. This is right next to the wing. The way this plane is configured you can barely see out of the window because the wing takes up much of the view.  It was a bit claustrophobic. I would recommend trying to get a seat not next to the enormous wings."
"1612887441-18010","https://www.seatguru.com/airlines/American_Airlines/information.php","Airbus A321 (321) Layout 1","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_Airbus_A321_V2.php","Not a bad seat."
