date|comment|rating|airline
|Made us happy and calm. To the staff and crew, especially the ones worked on Nov 08 2020 (I'm a little late) flight number DL412, THANK YOU SO MUCH, ALL of you were super nice and helpful. ... One of my kids has medical condition and can not wear mask. I called different airlines with no luck and all…|50|Delta
|DELTA NIGHTMARE. I flew quite a bit in my life, never in my life have I experienced such a nightmare. They operated a flight on behalf of Air France, not only did they get my name wrong in the first place (which is right on the AirFr website) they boarded my luggage without me (probably not…|10|Delta
1 Helpful vote|Will not take responsibility of AeroMexico First Class Fare. I booked 5 first class tickets on AeroMexico. AeroMexico paid Delta for these fares. On the way home Delta delayed our flight for over 5 hours which left us stranded in Detroit for our connecting flight. The NEXT day they flew us home but did not have first class available. I…|10|Delta
1 Helpful vote|Delta Stole My Money. I purchased 3 tickets for $302.20 and was charged this amount 6 times by Delta. I have receipts for the 3 tickets, not for 6 tickets. I reported this to my bank and Delta disputed the claim. I have not been able to get a hold of any representatives at Delta. I will not be flying…|10|Delta
1 Helpful vote|If there were any other options I would Never fly delta. I have to travel for work quite often. I have been on 6 work trips since the new year and Delta always disappoints me. The staff is wonderful and the only real saving grace. I fly delta going through Atlanta moatly and there aways seems to be something wrong with my plane. The…|20|Delta
1 Helpful vote|Deteriorating fleet - 2 DAY DELAY. The customer service has been mediocre with Delta for many years, but there is a precipitous deterioration of the fleet of airplanes that makes it nearly impossible to fly Delta. On this round trip, I was delayed coming and going. In fact, on one international flight we were…|10|Delta
1 Helpful vote|Destroyed belongings and baggage. Broken kids virtual tablets , breastpumbs , personal belongings , zero care whatsoever for your belongings and zero care to replace them .. very disappointing and have cancelled my sky miles ... you're very well known and make it right ... won't even get into their outdated…|10|Delta
1 Helpful vote|Director of marketing. Glad Delta takes COVID seriously. 😂 Packed on the sketchy plane like sardines. NEVER flying again!!|10|Delta
3 Helpful votes|Absolutely horrible customer service.. The gal workin the ticket gate 1/28/21 should not have a job!! Completely rude and disrespectful. We had debris flown into our planes engine which caused a delay. The connection flight would be missed so anyone that needed to make new plans needed to come forward. Our group went…|10|Delta
|Trip. We flew Delta from Harrisburg Pa to Las Vegas with a connection in Detroit.Both Flights were wonderful.On the way Back My Wife lost her cell phone. We told the gate agent about it and when we got on the Plane the flight agent said to my Wife if there is anything we can do to…|50|Delta
1 Helpful vote|Slow service. Flew from JFK to PUJ. The check in machines do not print your luggage rages you have to wait online for a long time. Our flight was blended with another flight and wasted about 45 min online.|30|Delta
2 Helpful votes|I wasn't happy with how the crew handled a situation. Delta is usually one of my favorite airlines and their staff is very polite and the seats are amongst the comfiest. On my short flight from Salt Lake City to St. George, UT I was not happy with my experience at all. We are coming in to land and we are less than 50 feet off the…|20|Delta
1 Helpful vote|Bad experience. So our flight was delayed and pushed 12 hours going into the next day. Delta informed us to go to a hotel but we would have to pay for it. I had to sleep inside the terminal. The following day at 0600 we went to another terminal to get on our plane. When we go there, their was…|10|Delta
|Third time Delta has lost baggage. I have no idea why Delta continues to loose my baggage. This is the latest dismal service from a terrible airline. I WILL NEVER FLY DELTA EVER AGAIN!! Also the food service was terrible.|10|Delta
|Good Airline! Value for money. I have seen Delta improve its customer experience consistently to a point that it is my favorite airline now. Texting customer service is incredibly efficient and their agents provide the best customer service of any airline in the US and possibly the world.|50|Delta
|Too many flights booked for departure and not proper spacing. Let me start by saying that I love flying with Delta. However, on my recent flight traveling from Orlando, Fl to Cincinnati, proper social distancing was not followed. For example, 4 different Delta flights were all scheduled to depart at 7:59pm in the same terminal. This…|20|Delta
|Ridiculous. Waited 1 hour at the gate because the “push back” truck broke down. I sat in 5 different seats before I found a video screen that worked. Plans are old and service is poor.|20|Delta
1 Helpful vote|Customer is always wrong. Delta Employees have become total jerks. I was told by Tim toys in a row to screw myself more or less when we are about to miss our flight.|10|Delta
|Still My Go To Airline. After several years of flying Delta as a Diamond Medallion Member, I can atill say that Delta is still my go to first choice. Tonight's flight was no exception (first leg). I normally do not do two stops or a red-eye but after changing this flight multiple times, I was a bit…|50|Delta
1 Helpful vote|Gotta Love Delta. We bought tickets to Aruba back in June. We were set to go the last weekend of January but decided on Saturday that we could not make the trip. Called Delta that afternoon to cancel. We had has a few schedule changes over the last few months but nothing to severe. When we…|50|Delta
1 Helpful vote|DELTA employee stole my Chanel bag and Louis Vuitton bag from my checked luggage.. I recently flew this past weekend from PHX to MIA. I had 4 designer bags in my suitcase. I purposely hidden the bags in another zipper with a towel over it. When I received my luggage I discovered that my Chanel jumbo and Louis Vuitton bumbag was gone from my luggage. I am now…|10|Delta
1 Helpful vote|Horrible customer service. Absolutely horrible treatment at the delta desk from a female with the name tag “Bessy” never been treated so poorly she refused me to fly when I shouldn’t have been. Cost me 2 nights in a hotel and 3 days in a large city by myself with no family or friends. Insisted my covid…|10|Delta
1 Helpful vote|Delta Rep- Dishonest & Disrespectful. I have flown with Delta for years. I am a United States veteran who loves airlines, does not always think the customer is always right, and will bend over backwards to consider everything. For the first time in my life- a Delta Representative (Rhonda: Aberdeen, SD Regional…|20|Delta
|Terrible accountability. I used to fly nothing but delta, I’ll never fly with them again. I was on vacation, my cards got hacked, I had to leave early. Changed my flight, it was cheaper so I got a 69.10 credit, they charged my card that amount instead, it was part of all the money I had left that I had…|10|Delta
1 Helpful vote|Delta Vacations hotel booking not so great, buy elsewhere. We ordered an all inclusive hotel through Delta, plus a roundtrip transportation to and from airport. The price was higher than on other booking websites but I wanted to use my points. Besides Delta claimed to include additional Exclusive All-Inclusive Plus perks, such as a free…|20|Delta
|ONE OF THE BEST AIRLINES IN THE WORLD!. I have been flying for over 50 years. For the past 10 years, I have seen Delta improve its customer experience consistently to a point that it is my favorite airline now. Texting customer service is incredibly efficient and their agents provide the best customer service of any…|50|Delta
|Ignore the negative reviews!. I had to come up here and leave a review for Delta! First and foremost my flight has made me discover what I really want to do in life & thats travel..after COVID of course! They SANITIZE THE PLANE, free carry on bag with seat selection, still offer you snacks during COVID and…|50|Delta
|Overpriced, little value, rude staff playing Dr. Overpriced, little value, rude staff playing Dr. Never will I pay this company another dime to cram me into their no leg room planes with rude staff that are committing felonies by practicing medicine they are not licensed to do.|10|Delta
|Great job safety for customers. My son flew Delta to visit for Christmas all flights he had no one sitting next to him Very pleased with Delta|50|Delta
|Needs better training of their people. Choices getting fewer and fewer. American customer service sucks, and Delta no longer allows passengers to have private conversations that aren't politically correct. Augggh. Southwest is quickly becoming the only choice.|10|Delta
1 Helpful vote|Never again. I hate bad service! Where do I start! I booked a business flight and ended up missing my connecting flight because I didn't get off the plane until 8 and my connector was on the complete opposite side of the airport leaving out at 805...therefore missing my business…|10|Delta
2 Helpful votes|I would never recommend Delta.. The worst flight and service I have ever experienced. Do not count on them to go by their policy, they don’t care what their policy says just whatever gets them the most money from you.|10|Delta
|Great Customer service. Great customer service , staff very friendly and helpful answered all my questions without hesitation and where happy to help! I will definitely be flying with Delta again!|50|Delta
1 Helpful vote|Don’t fly Deta!. Do not use Delta Do not use Delta, they are scammers! They cancelled my flight 20 minutes before showing up and claimed it was due to me missing a connecting flight 5 days prior, yet my itinerary still showed as valid on their website. They said it was due to a “glitch” and that…|10|Delta
|Finally a good trip with delta. THe on ground staff ( Issuing boarding tickets ) was terrible , machines are not working , you have to go for a long queue then the employee at the counter took her 20 mins to finish our tickets . Flight was ok , leg space ok , storage space ok , entertainment ok. The snack…|40|Delta
|OK Flight. It was an easy flight , Just one comment. They need to change their mea;/snacks its terrible. Flight attendants were ok , entertainment menu is not that good but a for a short flight it can pass|30|Delta
|Bad Experience. It was a quick flight , ground staff was ok . Flight , was on time , but they couldn't provide us with headphones , they said that they had any on that plane which is weird thing , I couldn't watch nothing during the whole flight , no blankets either. it was a terrible…|30|Delta
|Smooth flight back after a long weekend. I had an early flight on a Tuesday morning after a long weekend trip. Delta was the cheapest option returning to Boston from Austin and the experience was smooth and easy. The seats were comfortable enough to sleep for most of the flight and the boarding process was as painless…|40|Delta
|What a terrible trip.. 4 flights in 4 days. All delayed. Your middle seat policy appears to only be valid when it suits Delta. On the next half empty flight you still managed to assign me a seat that was already occupied. Now we can't find a flight attendant in Atlanta of all places. How far Delta…|10|Delta
2 Helpful votes|Bad experience. Food served during international flight contained a rubber glove in the meal under the chicken. Flight attendant attitude was only that she didn't do it. New luggage was literally destroyed. Luckily only one small item was missing. Despite allegedly concerned about covid-19,…|20|Delta
|"Delta is my airline of choice ""BUT"". We paid for first class from Atlanta to Palm Beach but because our flight from Amsterdam was late ""and"" we had to go through an extremely slow process through Customs (for nothing) we missed our connection. The Delta rep who helped us find another flight was very nice and very…"|40|Delta
|Ms. Once again- delayed!!! I really don't think Ive ever not been delayed on Delta. F'ed up my whole weekend. Thanks again Delta 👎👎👎|10|Delta
|Need app for digital ticket, highly annoying to DL app for one use. The simple fact they make you download an app to get the ticket on your phone is over the top stupid. I travel a lot on different airlines. This is the only time I have had to download an app to get my ticket. If every airline was this dumb I would have to have 12 apps on my…|10|Delta
|Delta Airlines service...you must be kidding. Couldn’t get a cup of coffee, cocktail or soda in First Class all in the name of passenger safety. Who are you kidding Delta. My next travel will not be with Delta. I’ll give them this much the cabin was clean👎|10|Delta
|Delta falsely advertises that you can safely cancel/change your ticket before March 2021. Delta advertised that one can safely cancel/change tickets and receive an e-credit for the ticket value if this is done before March 2021. i had 3 tickets booked for my family. after I canceled them, Delta only issued a partial refund for my ticket only and did not issue a…|10|Delta
1 Helpful vote|Unreasonable changes in flights, non-refundable tickets, and unable to contact customer service. My first scheduled trip with Delta was scheduled for July. After booking my flight, Delta changed my flight so I would have arrived hours later than planned. Needless to say this was not compatible with my planned trip and my carpool. I cancelled with Delta, and they refused to…|10|Delta
|lost bag. When I arrived at my destination I was informed that my bag hadn't made it to the plane, but delta had the bag delivered right to my door in less than 24 hours and we're friendly and efficient. I was relieved that they new exactly where the bag was when I inquired and that they…|50|Delta
1 Helpful vote|Was that first class airline or low cost bus service?. I didn't think it was possible to make flying less enjoyable, but the airlines have found a way to achieve this. Let me start with positive. Because all airlines are basically being forced to drop exorbitant fees to entice clients, I was able to make a change to a flight…|20|Delta
|Not good. A bad experience with poor communication through out. 3 hour delay with no updates other than continuing to delay without giving a simple reason (turns out it was an air traffic control issue) but staff wasn’t capable of letting passengers know|10|Delta
1 Helpful vote|So Disappointed. I have always thought y’all had the best customer service and paid more to fly y’all instead of others. Not only has my flight been delayed 4 times and still not even on it. I was supposed to leave at 1655 today. I am still in Tampa and don’t even know if I will have a…|10|Delta
